Genes	g0	g1	g2	g3	s0	s1	s2	s3	s4	s5
FGSG_01498	6.86013322004588	4.34464516283853	4.39391280433022	4.419960040458	4.65413909783823	4.37897324445441	4.16780387607822	4.40973869915721	4.52195276393577	4.57123193241738
FGSG_01499	9.08207965791883	8.46486800358343	7.97662277512352	7.76099783529261	8.18158558738542	7.59901851012628	7.33528119791473	7.33532965011209	7.27826170117937	7.29422920927543
FGSG_01506	1.59594127449037	3.0486261996588	4.00804414263811	3.86132197162094	3.8286105671536	3.4782672640135	3.44555298830139	3.88727005219404	4.34871595069051	4.45811475416024
FGSG_01507	1.12159516668775	2.25953924877481	1.80991569052643	2.04326053912073	2.98613912512949	4.06109316781626	4.13475737660729	3.99813953335	3.90912407553815	3.23860960309277
FGSG_01508	4.96851918460131	6.40862277189347	6.92723094749741	6.86742183702987	5.70668874503492	5.88748681581048	5.84196129741212	5.95215475631676	5.98673757010176	6.32465220593231
FGSG_01502	1.25233425476457	2.67491397870439	4.28528805495121	4.19558726413254	4.29892729757723	4.66435728781929	4.31800007993967	4.28762555062236	4.49535759569319	4.7611668514146
FGSG_01503	6.56180364535862	5.31806314193632	5.10545716676253	5.00304365192932	5.89566410269841	5.76369804682167	5.74152564461343	5.97640944861531	6.26467843530993	6.04851165436652
FGSG_01504	8.86108239573007	11.9716996257066	12.3258502502393	12.354971570381	11.0082620297498	8.62176367500752	9.0263221312736	8.71135317793202	8.42381541816592	8.8333105243056
FGSG_01505	2.57118719398615	4.7223364092896	5.60273552835544	5.25834138591444	6.48647308846077	5.79351839970442	6.05055654378948	6.28706905334494	6.35181154045996	7.30532805735066
FGSG_01511	2.63825386780336	4.94605365927017	5.74324719077393	5.8659800410426	4.94261359932626	4.17211868778832	4.4434078716058	4.62973811360337	5.14978123281654	6.66413873605733
FGSG_01510	2.75808619350263	4.45583523818622	4.83421062228362	4.07701053754379	3.26253245438003	2.72004286367906	3.33488239635059	3.65892903653741	4.01030876498108	5.2693179091536
FGSG_01509	8.97954711436927	12.3061560949082	12.433227568896	11.9436418407576	10.4931638765938	8.04973812066608	8.77287087550065	8.57144271635259	8.19697340773442	8.43066279472987
FGSG_01520	0	0	1.11280285817273	0	1.52473866699956	0	1.04904526514053	1.13022225886089	1.55615076646328	1.67806367074286
FGSG_01521	1.95077919269418	2.87904032314647	3.1394841686975	3.34638130129141	3.32254151679684	3.49065502977744	3.08761425054736	2.94661411664859	2.88128074375925	3.068634610025
FGSG_01519	4.50892387313237	6.05192432247927	6.08900917854089	6.12041864556744	6.20112639731806	5.76988962199116	5.83499292270514	5.74986762104091	5.58278947741891	5.7777045143614
FGSG_01512	0	0	0	0	0	0	0	0	3.10110927208808	4.563619386609
FGSG_01513	6.32786626056236	3.51311378077895	3.35893428782224	4.14531401689387	2.68956550394855	3.18006207482649	2.58497963373613	2.26062174471816	1.51421146272891	2.0039376736903
FGSG_01514	5.3544594512599	8.79123033475755	7.54588607393452	7.71625103553773	3.07502206758348	2.35490161328267	2.33082502685	3.51652582269739	4.17038209269823	3.54834295822295
FGSG_01515	5.07382801507024	4.90862491531727	4.55672714563817	4.43674057414845	4.08981688896652	4.13168565949663	4.17613317475218	4.58020274929676	4.56207489050405	4.25187816984936
FGSG_01516	9.3867192259654	11.9861826365117	12.1495284756587	11.7980217539278	10.4330761335931	7.81077170920543	8.36941956538005	8.03394509179665	7.73533368176528	8.15073324315876
FGSG_01517	2.63136619102399	1.80842720875001	0	0	0	0	0	0	2.52391841012188	2.48630171624868
FGSG_01522	4.20775494839816	5.41477796419328	4.68402837355414	4.58635001722618	4.69755342972545	4.92019136978882	4.79143919834769	5.23616258957818	5.63674307530941	5.61203859942112
FGSG_01523	3.80755566881493	2.53205003524095	2.50563834628055	3.41496276597258	4.83124265177063	5.8908638573818	6.33695718619166	6.68172377954427	6.3926288608934	5.46330987756629
FGSG_11962	1.94756265041423	1.22522841998797	0	0	0	3.60457909241269	2.70987178258588	1.83939156749521	1.51802904786733	1.92043598143602
FGSG_11963	2.442974581512	1.56795682596034	0	0	0	4.61131311025713	3.85207094610483	3.36620516412338	3.23307625607867	3.28185493540883
FGSG_01525	0	0	0	0	2.88782817764931	4.3283729435783	4.57009089057319	3.70666373455456	3.11630576502886	2.45542890840622
FGSG_01526	6.60071619955282	6.07889828380819	4.85593091576756	5.25260895908897	7.2948615568411	7.48666096367254	7.80645904264647	7.30505744077897	6.71408028819069	6.49920220946075
FGSG_01527	6.30487252981029	5.5431285028986	7.10611913632556	6.58724817159682	5.43404337535622	5.07151618595588	5.13660836031468	5.28436186187925	5.44829926540979	5.79266985050801
FGSG_01528	6.01118968758232	7.10314358769318	8.45390244548964	8.79599612418318	9.58124661762443	8.06167494010445	7.98311734004228	7.83323150513639	7.63519240656256	7.41420736231517
FGSG_01529	0	0	0	0	0	3.22696180415056	4.21592016701763	2.02300390789355	1.55400812904446	1.48651520804546
FGSG_01530	5.87318567039127	3.83764422234632	4.3822659884769	4.25887471507103	4.45309134102427	4.90353013677817	5.12130575935129	5.79031729686968	6.16496149943822	6.03938827155064
FGSG_01532	1.53461445010395	0	0	0	5.55861961513883	6.16424071876116	4.26487555912205	3.32240046707831	2.26853673165139	1.72016847705612
FGSG_01533	6.86674771581966	4.78710747493322	4.13904697397067	4.2002848562739	5.44074007015684	5.7235387543978	5.80471737258809	5.84733394795681	5.87443622333157	6.10893485045822
FGSG_01534	5.72378705225417	4.85212828751648	5.36566320266135	5.52555632760421	6.14724340388092	6.23855376132542	6.52978212944522	6.56758897691115	6.47981851844618	6.17922426557334
FGSG_01535	3.04323977102461	6.18589611744435	7.57082851076064	7.33170283973099	6.68601735249642	5.89835418807183	5.93959231091347	6.24004157498654	6.41170417141264	6.43137879503112
FGSG_01538	3.53731002793295	3.40010390420455	3.61032613594947	3.775073527734	4.02786901755405	2.94863099591429	3.46635217472547	3.41777845713509	3.71340900617907	4.68657193184451
FGSG_01536	6.49681500809278	5.28358109178906	4.23559822364646	4.28162745766187	4.79656881030206	5.29987226036702	5.38920687587559	5.47502737545561	5.67256370077027	5.83891040911848
FGSG_01537	2.11268421465644	3.04853680450831	3.32619684807395	3.67658510669039	3.96608157133769	4.19164365316318	4.0867961687124	3.98155035258119	3.69066597693762	3.62440052164062
FGSG_01539	4.02882038770516	5.85610658462634	5.43096335096809	5.29437932469202	4.18047141382371	3.89289321732626	4.09205730206922	4.24386893103899	4.12085290884823	4.58383988986876
FGSG_11964	4.95586463316196	4.38798843028957	4.98467875450832	4.91393077590186	3.79147014987654	3.84010547843959	3.83464663263762	3.84145120427374	4.0447356001468	4.15477729210613
FGSG_01540	2.50191845506041	4.02232227414738	4.1657470988892	4.18192102562352	3.78144053372125	3.82925709335316	3.98703786279862	4.11158072877543	4.95432245358669	5.03353565015587
FGSG_01541	7.05291662233297	7.78106292620681	7.4659757617938	7.1967502227399	5.59241829599278	5.15427466591949	5.15667513741651	5.10114696196589	5.00902319237863	4.90899965014384
FGSG_01542	6.05513025898859	6.50244835995356	6.39964542283437	6.42707183614006	5.78867446907424	5.14282448059733	5.02168306992915	4.63927214834461	4.67265522618154	4.57353772144232
FGSG_01543	3.73490446083372	3.52445479799464	3.42155207431008	3.67485167290615	4.45434406430199	4.54712350783607	4.352816843764	4.42548400833712	5.23171755509063	6.43869503260531
FGSG_01544	3.30918380402304	4.74097752821315	4.67256450704987	4.22765184852908	4.01661020194129	4.13775838456766	4.46375477519673	5.03576954054466	5.24629683682494	5.71731559653974
FGSG_01545	2.41534650230872	5.17487834200515	5.14434998122324	4.88485818720292	3.72856933007368	3.28205291204161	3.48980906276293	3.41378548760829	3.26629714013051	3.80797568908282
FGSG_01546	0	0	0	0	0	0	0	0	0	0
FGSG_01547	4.73479377685165	5.44261937789598	7.52065113427112	7.01523791974123	4.6961044194507	3.99852519880683	4.42906412883571	5.66808668006176	5.18605469311402	4.4765034555168
FGSG_01549	0	1.70852309679031	3.3922588941069	3.2340411839479	2.26017957971304	2.26224469008192	2.9577108916717	3.49122020534797	5.77487956673622	7.8114147965004
FGSG_01550	0	3.38887719387387	3.38985504364854	3.58809428786862	2.77822764837085	2.57364982865823	2.61528593483318	2.52927140507153	2.24420820640629	2.36144205001208
FGSG_01548	7.13478224978964	5.60455981099622	5.69426555814224	5.42793042472283	5.92696650343271	5.44021351592925	5.51321354727231	5.53137156545594	5.38737329881036	5.29522049389808
FGSG_01551	0	3.83205908417473	4.98407115842016	4.55798765347577	3.83406652316668	2.65676233569385	3.33675940355308	3.67869249932693	3.27849949484478	3.92475829810817
FGSG_01552	3.68049042558707	4.93261846404059	6.71580405453629	6.72588844708616	6.17711170367876	6.29348973235362	6.19323182392795	6.07346911441195	5.94520396543339	5.91283536299685
FGSG_01553	8.08184276292636	8.83966119612525	7.44969176367524	6.73464264627815	5.63093591714874	3.65605341181889	4.14153336762146	4.51935374033893	4.90387632591438	5.06453227019005
FGSG_01554	7.84383324384523	5.81835195530423	5.05521072345055	4.76138699342981	4.23350843436445	5.04703421526339	5.30296696750991	5.74690212314606	5.88176926897403	5.65074173440371
FGSG_01556	1.1926672143343	2.96665084612086	2.89173058534333	3.16180390602744	3.67650707589582	4.07525432221868	4.06615778397337	3.72905488969552	3.67505555028114	3.63237117312401
FGSG_01557	2.76521563134688	2.26782708059553	3.20063457766275	3.23957593675331	4.9856513733489	7.45484834971698	7.57062566539746	7.39433449313236	6.94915675590384	6.19708824492303
FGSG_11965	0	0	0	0	0	0	0	0	0	0
FGSG_01555	9.46496043673714	8.27863825576546	6.8883719404011	6.60122948630997	8.17275988984007	7.88775190547813	7.86777525882034	8.02782320272754	8.22580933266565	8.02435613401795
FGSG_01561	5.44339677183087	5.98143503562987	4.2332566963739	4.65115609188654	6.78833238448408	7.2359231150788	7.174386970913	8.10123801949241	7.97783484159996	7.2948161950708
FGSG_01558	8.20503129020972	6.55120021465978	5.43392692044286	4.93017056118444	4.40818156724549	4.28030125123093	4.44832459557525	4.93997542336862	5.60043076230975	6.50256500939085
FGSG_01559	0	0	0	0	0	2.56843989867583	4.94033635793121	6.51057765663939	6.64536082785085	6.02754120681992
FGSG_01560	6.28984865141589	6.72625773380916	7.10679972805393	7.0779885745418	4.99701604696536	5.72543161281306	5.51872292667809	5.34870977504368	4.96573870754253	4.77439255315934
FGSG_01565	0	0	0	0	0	0	0	0	0	0
FGSG_01566	0	0	0	0	0	0	0	0	0	0
FGSG_01562	6.55377361225866	6.29867733405985	6.4800724390672	6.39291767017197	5.11639390737437	5.53787565586562	6.04243325994598	6.10578902166131	5.89110905801532	5.70226413624367
