Genes	Spore	Ger	Brch	Myc	Oidia	Scl	Knot	Pri	YFB
CC2G_011757	4.88399148832019	3.92800106689906	4.0682196674679	4.30937771689149	4.17929139731864	4.23271350715991	4.35565069350322	5.09585740133676	4.2597880847934
CC2G_011758	4.70845349787246	4.23139055893108	4.49490042849008	4.37677679239944	4.13608173784395	4.17629633837442	4.30269583562035	5.01027374645315	4.1241999807956
CC2G_011759	8.22774630694735	6.243056172488	7.20448341437869	6.87546543343676	7.02119625507408	6.5949943689321	6.85421633586332	7.8155869994326	8.27480479660905
CC2G_011760	3.12445175568246	4.03732521958648	3.320988422261	3.67813645920382	3.8877662678481	3.27655779414417	4.44233078318201	5.63875423024249	6.04511988243922
CC2G_011761	0	0	0	0	0	0	0	0	8.05004934760955
CC2G_011762	5.90109837782643	7.92075594379695	8.4084556508847	8.20630975140215	8.13857036936124	7.34681064219542	7.8389055583972	7.10703627436715	7.01162945970911
CC2G_011763	8.71005158955477	6.81190133601202	6.7503331778965	5.91609874757357	5.99179366953652	5.98519476843275	6.25708804881209	6.01047485787619	3.58083804013638
CC2G_011764	7.76852445274529	5.94913991821582	6.09238038500796	4.57217742027269	4.75121728811562	5.22282865334007	4.82341445068173	4.73151323168859	3.61732072209322
CC2G_011765	6.91312157940748	5.52121528920401	6.21591848797929	5.77231097943995	6.01757817396368	5.06265152622297	5.49634997130306	5.44702289938594	4.37705045764728
CC2G_011766	7.72501669958931	4.33653508599742	6.1570090592937	5.20734748626881	5.35019964002912	4.41497519007165	4.25689678096233	5.59632721434369	3.96365497284017
CC2G_011767	4.39951387592412	7.25433911780456	5.4249984877898	5.9542209066221	6.46304376372194	4.86997235710128	5.82927610306471	4.67048107697201	4.57561778627524
CC2G_011768	4.80591623371685	3.44993816181556	2.17018370537486	2.06159100671151	2.23141553607264	1.37185905885643	1.77537950139612	2.70836329308852	5.2183044446507
CC2G_011769	0	2.01443861451348	1.20337927969024	3.47634953931317	3.25368887407898	2.63735821649099	3.40571359501094	1.37455565647879	0
CC2G_011770	2.25384035923409	3.8406367660971	4.03071274450399	4.44399477628936	4.17834168471186	4.14502529137429	4.27826553046432	3.51447934021158	2.88965138989584
CC2G_011771	5.27964071952063	4.74683932999276	5.94504550711112	4.06489433077769	4.16906531241561	3.95054389670349	3.93548897218196	3.9165041175392	4.34582135832975
CC2G_011772	7.370135834603	7.32255986582574	4.53835726139398	5.38015992976821	5.28947413755267	7.01916164648932	6.35502260622984	6.21162986079777	7.45938597121615
CC2G_011773	0	0	1.34068765169002	0	0	0	1.1697334051277	1.48863893188122	2.93145856200825
CC2G_011774	6.56878081626037	5.6568279899503	5.56459262407044	5.820282292257	5.77752540513953	6.31966928837621	6.11819922874001	6.22079243132307	6.60108746739641
CC2G_011775	6.32209363458386	6.26920786649356	5.32050577334251	5.58038261917793	5.53545693298069	6.5930067615037	5.91185301774272	5.86568325947575	6.43152649022744
CC2G_011776	7.14386984040107	1.99546111353688	2.93420454566674	1.8546101364975	1.67046747410363	2.51025304362365	2.35447071822435	5.46749887443567	7.47345493434763
CC2G_011778	7.29963665095992	5.0109516549354	5.1815266872244	5.25930312391574	5.29484339660375	5.95539354651249	5.53276168706365	6.70241275346385	5.18930231533208
CC2G_011779	5.33502439650346	4.35237895002601	5.04347167978744	4.28630311644645	4.45770941891042	3.59069201181383	4.624110223448	5.37152678243826	4.24060188952605
CC2G_011780	3.69662235373346	3.56783752903704	4.43583519472539	4.60581846176611	4.632098047757	3.86499592639223	4.72471738213253	5.40557354907056	4.83446936183017
CC2G_011781	5.8376776428005	5.12875421892408	5.97495693607526	5.53666095449271	5.58917124696154	5.83914182606095	5.7523930252756	5.29486149937569	6.20440247701946
CC2G_011782	7.73925344956616	5.73053812373929	6.58685248617605	6.51355517130853	6.02337941941385	6.19613221018047	6.10756433097085	6.85479114912414	5.79271307542095
CC2G_011783	2.34991249930542	3.92237701949694	3.61189423697255	5.49826676916147	4.67444104571968	4.71797707362908	5.33122265714034	4.63539031164422	3.1514934039753
CC2G_011784	1.9620775403175	0	1.20331851145815	1.56408898707137	1.31227286972038	1.62725661058538	1.52559463979727	7.38536257036103	1.79778745526854
CC2G_011785	6.26141214774179	4.97679007605639	5.79061022714984	4.45668889778379	4.76181134907159	3.93839894670409	4.25915639025557	4.96547767035567	4.5889564385379
CC2G_011786	5.21511991124197	5.19418882170758	4.51103148059684	4.88807007906811	4.66743969172564	5.66236294487961	5.23933347276802	5.84770691607815	6.06640044011248
CC2G_011787	4.82003991945531	4.73864887340919	4.32525431503837	4.49984251208047	4.34868703872785	4.88323076059583	4.82666415077498	5.38490485180689	5.43914277788543
CC2G_011788	6.62256856399257	5.73879971841573	6.45944450952163	4.95356160826657	5.05219933042074	4.55545977487534	5.48222313336054	5.99970007303404	7.23501609240425
CC2G_011789	8.51589804486888	9.59673722153115	10.2027038726197	9.17127968892334	8.99074219334401	8.40803290538784	8.74944746079495	9.10134312226593	9.41888952479853
CC2G_011790	0	1.99563015603638	1.58215724059952	1.2535336577583	1.56086018070263	1.37411398979905	1.01740631368507	3.90284838994067	1.80391958451833
CC2G_011791	8.29870334689966	5.59857253011045	6.70355635653358	6.17028415486655	6.13665971615405	6.24552945488037	5.63112055801131	5.23520639819223	4.57186993566363
CC2G_011792	6.15434249861938	4.75254530594152	5.74488399646672	4.46719339288713	4.79595966384028	3.59577621877464	4.0151789154707	4.76402356514329	3.28216758860736
CC2G_011793	7.17143962858959	5.2342396373847	5.14909463097404	5.84332861806462	5.79455079280273	5.9256741885095	5.81852021041346	4.78903746382409	4.17746624260231
CC2G_011795	0	0	0	0	0	0	0	1.13618321433765	0
CC2G_011797	5.1569899661391	5.96359431319883	5.86410767483931	4.67502706932381	4.11079004169309	5.86016080752175	4.98500444074757	6.18746702973095	8.04273215355522
CC2G_011799	2.88895287393107	0	0	0	0	0	0	0	0
CC2G_011800	0	0	1.12158868972389	0	0	0	0	1.19135918616779	1.87101605472924
CC2G_011801	0	2.30534028822734	2.21995280104159	2.623432166944	2.44983815355818	2.04654144814122	2.61405800043356	1.42442042191949	0
CC2G_011802	4.58354438908528	2.88060321695939	4.21788447584141	2.64879479955782	3.11726601886843	2.9164898511767	3.6734098642042	4.03539727832942	2.80697945695177
CC2G_011803	2.13358251609807	1.98633349759512	2.49730282789602	1.6469861499837	1.96403488346477	1.70212288064964	2.0507296128196	3.93651944004221	3.06765900098535
CC2G_011804	5.78894856123675	6.16577664334516	6.28932277070267	5.32511428606671	5.50452401383948	5.43090475372679	4.99979407214147	5.81639283106254	4.08026776832825
CC2G_011805	7.06913957592813	6.43805153039048	6.33448475670473	5.99296618557403	5.9702453289253	6.37667507785322	5.86857204941683	6.75469776489037	5.21203764662686
CC2G_011806	4.85579256745313	5.75479628170609	6.19001374756586	5.87256801457316	5.86501955846378	6.083088806435	6.01887365592475	6.27465916663747	6.05680380992243
CC2G_011807	8.4055082747608	9.14915338201882	9.01719421144562	7.95822820051609	8.17656780486789	7.38614829952993	7.12110460079876	8.39054617654889	8.65586916779183
CC2G_011808	5.6792481824331	6.38525646404113	7.2884180351524	6.71219130258447	6.75730391058556	6.38510471423802	6.31532191913258	6.6279467005771	4.69242971047922
CC2G_011809	1.34687230960094	0	2.72330456093234	3.24377423821026	2.92567708211241	2.93077935341984	3.27405461277094	1.70507355654952	3.18276444392009
CC2G_011810	4.76868073256522	6.50581346717305	5.55830783119514	6.03964730075329	6.09617809138538	6.28834184535524	6.31646584642015	6.76213313359928	7.90944818603736
CC2G_011811	5.45133777486824	6.243056172488	5.73725146183288	3.58880701958106	3.96605838165538	3.06056864779873	3.92669385388076	3.68973710008752	3.08007725859982
CC2G_011812	5.98654228636896	5.63923145985119	6.81673343469485	5.20924436018156	5.3731757859296	5.20246859165095	4.82037383844046	4.38881865958851	5.10963069639987
CC2G_011813	5.36306909120356	6.05971734386353	5.41718360422784	5.70524669254044	5.79596646126328	5.91577602957053	5.8291578366851	5.34316560481006	4.77577787628269
CC2G_011814	2.25774262318093	3.26373143658613	1.94751406018351	3.70424488383313	3.69380882613461	5.73799195003787	4.07558075677091	2.56649082084226	3.96881377066323
CC2G_011815	1.45691161662316	1.62031345726204	1.74948381398392	2.40792434147209	2.12209089674377	3.85035580524903	2.49487979033339	1.35540889617449	1.61594671406439
CC2G_011816	0	0	0	0	0	0	0	0	0
CC2G_011817	0	0	0	0	0	0	0	0	0
CC2G_011818	2.55151038862725	4.55406770217362	4.06822780551044	4.31900273194421	5.06620387063353	3.50505657155648	4.16629065373103	5.94790018112505	5.44212851488083
CC2G_011819	6.35287403729633	4.09725924052515	4.85720346405845	4.69338010091037	4.86822281473881	4.8164508400641	4.77478198361865	4.53464952109472	3.61502594184306
CC2G_011820	2.58541415214918	3.21203401833654	4.80609202735296	3.94573929032335	4.24527263502441	3.16059684326353	2.8270143970895	5.02432830203006	3.01667697374089
CC2G_011821	2.91114908334958	4.39730697239575	5.53220873428517	4.28452014263702	4.264124145732	3.25659040422014	3.04042396550064	3.81521056545286	3.89586463078794
CC2G_011822	3.84873750670272	5.53926311778916	6.63615384894014	5.49708726692258	5.54224402088435	4.63664553619072	4.41395339972662	5.30141709439422	5.20368415916578
CC2G_011823	7.74791310700902	5.92794174207665	6.96499949154125	6.4065082487965	6.48584161184211	6.23622168030948	6.73698275168747	6.14370595529167	7.19851139701366
CC2G_011824	6.5077427253294	6.75945424601119	6.26470723088691	5.74389445664897	5.78556249957998	6.66544493167793	5.91530761586918	5.27597474141999	7.52078615388741
CC2G_011825	4.5469497443984	1.28036028183322	0	1.32508404410307	1.21047779341444	0	1.20612792272579	0	3.41057579654711
CC2G_011826	1.65474762708603	1.71852453411698	2.31325933684627	6.07168449277487	5.54956588202329	3.94441691293125	5.12612072777084	4.65523045650806	5.89828786425315
CC2G_011827	5.91385215532752	4.05906957785526	4.57491540232932	4.94481995577374	4.76299529775808	4.44657830147786	4.95694243873298	6.24149133581911	6.527262072793
CC2G_011828	1.01640151819848	6.22065751553633	3.24941516116272	4.34198499316906	4.85073169947439	5.15289237855927	5.14312442227762	7.09270664898178	6.98478529672068
CC2G_011830	1.52142102606451	6.06122244711712	3.27660961441021	3.26109755490006	4.17656149489655	4.34033146754561	4.24745107805752	2.1434994991553	1.76398355924187
CC2G_011831	5.53278560185912	9.10920704650005	7.73758236290777	9.85494931406296	9.61893203251075	10.7433271660514	9.32585461397992	8.77679021339194	9.29646348559376
CC2G_011832	5.26279585169676	5.63646268725513	5.45490132677475	5.8760692292773	5.64459621441663	5.76590000182948	5.53661192056268	4.62131684947486	5.34035294307545
CC2G_011833	8.35884178973711	5.96765174637324	7.34395651382291	5.9265819602914	6.11764803069751	5.20436448472249	5.18442208469619	6.63790599496614	4.37557127682757
CC2G_011834	2.54206686346353	0	1.16837967578762	1.21524953055437	1.55706089031414	1.95226214931564	2.72229312079101	2.52128015186378	2.26848574214161
CC2G_011835	7.95264856414579	8.44622038451135	9.68886037244868	7.71559996442799	7.90651319497695	8.61526398506075	7.36211343408242	6.96927035022395	6.29346271786372
CC2G_011836	0	1.15998657994645	1.11596743397845	2.23723819831459	1.92079732023566	1.53221665301221	2.05746796246352	7.47431910709036	8.60474239674317
CC2G_011837	4.15074697754339	7.23149168720979	7.42556549363243	6.36197916692615	6.11351926189477	4.95887586840927	5.3389120370853	5.52953117288167	3.97975058922313
CC2G_011838	5.18052463844112	4.29081083131936	3.90061248461507	4.67310473393194	4.49927339641399	4.43397452809807	4.93826630013279	4.8365116330683	10.4849038853762
CC2G_011839	4.27989182974939	4.6389645321701	6.18205860625881	7.09561310832248	7.17423594169139	5.81567648700713	5.74945636174099	7.30042830680085	6.32203679100958
CC2G_011840	0	3.37858095027287	2.47003763617412	1.94132523948927	2.0250162334967	0	1.64603910472488	2.33582013930172	2.49931595235195
CC2G_011841	6.47547797569773	7.90156689706441	6.47556039378201	6.00086748147004	6.47035299355284	5.71259818440658	5.27460546452954	7.28231874887735	6.52039092931583
CC2G_011842	5.63139659038266	5.73790425620103	6.44132420443056	6.35973714291232	6.21749770615173	6.01790527543903	6.07922264388407	6.59753953458717	7.30506684912774
CC2G_011843	4.90308624170365	4.20034912831009	3.41366047773165	3.69758327442797	3.68348775323053	3.72220303617739	4.13350890362709	2.67362082693481	2.16807515147489
CC2G_011844	8.74163540607798	5.12149646177491	5.20403646751501	5.84619759218078	5.79834869329169	6.31289705369592	6.38207493418328	6.3524512119578	5.62988244194496
CC2G_011845	8.23180532187195	6.26918819100531	6.44909087124275	6.3693983779603	6.34566007635583	6.96852911584992	6.49409335574508	6.7391079151146	6.3080103780139
CC2G_011846	3.38517702354366	5.63743959028958	5.5360263094393	6.08992540221605	5.93966043990274	6.43149904498998	5.5440265491507	4.66342463259502	2.25164927521955
CC2G_011847	4.38592197573981	3.39865872228269	1.82955351110811	2.70562801985311	2.39360035177414	3.19464439373419	2.77582675322978	4.45155487080655	3.53806258611234
CC2G_011848	5.43852851622866	6.17391119551172	6.93037043095955	6.65923879602308	6.6220118939649	6.76055661597434	6.35780925237888	6.33379532167031	5.1146810596988
