Genes	T0	T1	T2	T3	T4	T5	T6	T12	T16	T24
RO3G_14402	5.2101616218756	5.49283551621155	4.49964872506574	4.2625200748089	4.12732688603717	4.39126416279414	4.44175807163548	4.91598361186582	5.10561337193042	4.97752216494443
RO3G_14403	5.44537733435725	2.39900828856281	1.35065403838547	2.26451335738129	2.42692128478378	2.27300252348312	2.10216217873456	2.24149690822761	2.23208621364806	2.83218641208894
RO3G_14406	1.84537402323907	1.49447033283218	4.06911973915633	5.66399539656601	5.98391352299068	6.30684493911066	6.48605864895325	6.47119606987529	6.42480387408365	5.86864680502229
RO3G_14404	2.12900660013984	0	0	1.82103500730655	2.23591914948721	2.51923052694331	3.15379823446087	3.20283108729244	3.28964229687067	2.95798617914854
RO3G_14405	2.25645066682663	0	1.25666243272861	4.1506552363818	5.15380459790273	6.42903732101349	7.20123541218917	8.30977936256248	7.8662768875403	7.66538842578581
RO3G_14397	8.54424477372812	5.82670117701584	4.63083720859584	4.08284622022466	4.38480395357426	4.73493953849875	4.69405094259154	4.9435993748764	5.10898833576867	5.40614095987847
RO3G_14398	4.66092334785873	5.86159535389004	6.73739024090679	6.54530023503046	6.5204380923859	6.25291192686861	6.21939422850994	6.28506900042209	5.48260432032313	5.68836638751386
RO3G_14399	6.05821723552425	5.56454054895644	7.00614587038284	7.0839077690761	6.95115201992218	6.79637770036264	6.47574639486372	6.27555061307434	5.74906101666318	5.51687440506652
RO3G_14408	0	0	0	0	1.38606228962622	1.06168589802671	0	0	1.08887666266129	0
RO3G_14407	8.93913923582715	10.1311019850145	10.1314043795683	9.82910399788349	9.67904140849242	9.44807723191219	9.10397228750049	9.44931388761156	8.82886393025155	8.76714678253934
RO3G_14411	0	1.44175015304919	1.38371885821922	1.67787320871483	1.55373685346861	1.50438230764032	1.28376661805223	1.22461791386774	1.61478849803586	1.1035898209072
RO3G_14409	9.48878106825411	4.4669445685212	4.01722239480536	4.06798943022229	4.40408354671171	4.48241171545355	4.42456666838717	4.01208796097809	4.14760053948954	4.14184244583175
RO3G_14410	7.93143114939644	8.19197944268113	8.89785595896658	8.78180000439235	8.81914963781372	8.71932801341908	8.72689068089942	9.04683759265242	8.38301412734724	8.41409334762339
RO3G_14414	4.61611308283252	2.27363236441298	4.52334156273517	5.39254601119817	5.903092946967	5.95718450607739	6.18628160496	5.38006850785741	5.42130618014812	5.14786485726289
RO3G_14415	5.47235646148122	4.53556943516616	3.80657834244793	3.63186653630124	3.11450167505426	3.12838279787339	2.97260170387535	1.68205849003232	3.26993859763859	3.60675331211738
